"","species","year","week","DAYNO","DAYNO_adj","nm"
"84","Pyronia tithonus",2003,12,84,84,3.10463863636819e-15
"85","Pyronia tithonus",2003,12,85,85,4.32782659112041e-15
"86","Pyronia tithonus",2003,12,86,86,6.03179628784148e-15
"87","Pyronia tithonus",2003,12,87,87,8.40475592883678e-15
"88","Pyronia tithonus",2003,12,88,88,1.17081634555506e-14
"89","Pyronia tithonus",2003,12,89,89,1.63050179820254e-14
"90","Pyronia tithonus",2003,13,90,90,2.26989739314181e-14
"91","Pyronia tithonus",2003,13,91,91,3.15883697705862e-14
"92","Pyronia tithonus",2003,13,92,92,4.39407886811328e-14
"93","Pyronia tithonus",2003,13,93,93,6.10958531766308e-14
"94","Pyronia tithonus",2003,13,94,94,8.49068005561806e-14
"95","Pyronia tithonus",2003,13,95,95,1.17935262703882e-13
"96","Pyronia tithonus",2003,13,96,96,1.63718948258992e-13
"97","Pyronia tithonus",2003,14,97,97,2.27139090397832e-13
"98","Pyronia tithonus",2003,14,98,98,3.14924241319785e-13
"99","Pyronia tithonus",2003,14,99,99,4.36340152284557e-13
"100","Pyronia tithonus",2003,14,100,100,6.04133262478465e-13
"101","Pyronia tithonus",2003,14,101,101,8.35819314966464e-13
"102","Pyronia tithonus",2003,14,102,102,1.15544093254134e-12
"103","Pyronia tithonus",2003,14,103,103,1.59596142210567e-12
"104","Pyronia tithonus",2003,15,104,104,2.2025203461162e-12
"105","Pyronia tithonus",2003,15,105,105,3.0368544114244e-12
"106","Pyronia tithonus",2003,15,106,106,4.18329145025477e-12
"107","Pyronia tithonus",2003,15,107,107,5.7568642134223e-12
"108","Pyronia tithonus",2003,15,108,108,7.91439541096692e-12
"109","Pyronia tithonus",2003,15,109,109,1.08712644976306e-11
"110","Pyronia tithonus",2003,15,110,110,1.49241273651541e-11
"111","Pyronia tithonus",2003,16,111,111,2.04814748677637e-11
"112","Pyronia tithonus",2003,16,112,112,2.81069507043053e-11
"113","Pyronia tithonus",2003,16,113,113,3.85800948603194e-11
"114","Pyronia tithonus",2003,16,114,114,5.29818030153966e-11
"115","Pyronia tithonus",2003,16,115,115,7.2815005826109e-11
"116","Pyronia tithonus",2003,16,116,116,1.00175746003439e-10
"117","Pyronia tithonus",2003,16,117,117,1.37996684719475e-10
"118","Pyronia tithonus",2003,17,118,118,1.90395167247118e-10
"119","Pyronia tithonus",2003,17,119,119,2.63172931200111e-10
"120","Pyronia tithonus",2003,17,120,120,3.64536796883822e-10
"121","Pyronia tithonus",2003,17,121,121,5.06142978535893e-10
"122","Pyronia tithonus",2003,17,122,122,7.04617745807513e-10
"123","Pyronia tithonus",2003,17,123,123,9.8378293083412e-10
"124","Pyronia tithonus",2003,17,124,124,1.3779300289451e-09
"125","Pyronia tithonus",2003,18,125,125,1.93666298007636e-09
"126","Pyronia tithonus",2003,18,126,126,2.7321011300538e-09
"127","Pyronia tithonus",2003,18,127,127,3.8696541689362e-09
"128","Pyronia tithonus",2003,18,128,128,5.50423577757746e-09
"129","Pyronia tithonus",2003,18,129,129,7.86474223772611e-09
"130","Pyronia tithonus",2003,18,130,130,1.12855760357777e-08
"131","Pyronia tithonus",2003,18,131,131,1.62463894457633e-08
"132","Pyronia tithonus",2003,19,132,132,2.3436682750595e-08
"133","Pyronia tithonus",2003,19,133,133,3.38418299285002e-08
"134","Pyronia tithonus",2003,19,134,134,4.88587345028168e-08
"135","Pyronia tithonus",2003,19,135,135,7.04487886786017e-08
"136","Pyronia tithonus",2003,19,136,136,1.01335134710761e-07
"137","Pyronia tithonus",2003,19,137,137,1.45249295199533e-07
"138","Pyronia tithonus",2003,19,138,138,2.07227671073915e-07
"139","Pyronia tithonus",2003,20,139,139,2.93949989555121e-07
"140","Pyronia tithonus",2003,20,140,140,4.14098259217089e-07
"141","Pyronia tithonus",2003,20,141,141,5.78695194320788e-07
"142","Pyronia tithonus",2003,20,142,142,8.01355320342733e-07
"143","Pyronia tithonus",2003,20,143,143,1.09835166729254e-06
"144","Pyronia tithonus",2003,20,144,144,1.48837033446766e-06
"145","Pyronia tithonus",2003,20,145,145,1.9918019904583e-06
"146","Pyronia tithonus",2003,21,146,146,2.62941506205365e-06
"147","Pyronia tithonus",2003,21,147,147,3.42028440909489e-06
"148","Pyronia tithonus",2003,21,148,148,4.37892641839537e-06
"149","Pyronia tithonus",2003,21,149,149,5.51172688345052e-06
"150","Pyronia tithonus",2003,21,150,150,6.8129406939232e-06
"151","Pyronia tithonus",2003,21,151,151,8.26457527799464e-06
"152","Pyronia tithonus",2003,21,152,152,9.85047351350281e-06
"153","Pyronia tithonus",2003,22,153,153,1.15546237555301e-05
"154","Pyronia tithonus",2003,22,154,154,1.33606669740226e-05
"155","Pyronia tithonus",2003,22,155,155,1.52540651100204e-05
"156","Pyronia tithonus",2003,22,156,156,1.72242244234809e-05
"157","Pyronia tithonus",2003,22,157,157,1.92664577632215e-05
"158","Pyronia tithonus",2003,22,158,158,2.13837412209001e-05
"159","Pyronia tithonus",2003,22,159,159,2.35882986753944e-05
"160","Pyronia tithonus",2003,23,160,160,2.59031246608343e-05
"161","Pyronia tithonus",2003,23,161,161,2.83636291912961e-05
"162","Pyronia tithonus",2003,23,162,162,3.10196608380823e-05
"163","Pyronia tithonus",2003,23,163,163,3.39382457572822e-05
"164","Pyronia tithonus",2003,23,164,164,3.7207486356762e-05
"165","Pyronia tithonus",2003,23,165,165,4.0942217828454e-05
"166","Pyronia tithonus",2003,23,166,166,4.5292259507709e-05
"167","Pyronia tithonus",2003,24,167,167,5.04544754110996e-05
"168","Pyronia tithonus",2003,24,168,168,5.66904605735906e-05
"169","Pyronia tithonus",2003,24,169,169,6.43526379942663e-05
"170","Pyronia tithonus",2003,24,170,170,7.39231218331336e-05
"171","Pyronia tithonus",2003,24,171,171,8.60722817146775e-05
"172","Pyronia tithonus",2003,24,172,172,0.000101732993415198
"173","Pyronia tithonus",2003,24,173,173,0.000122029746580002
"174","Pyronia tithonus",2003,25,174,174,0.000148346319801902
"175","Pyronia tithonus",2003,25,175,175,0.000182510852604639
"176","Pyronia tithonus",2003,25,176,176,0.000226931680508276
"177","Pyronia tithonus",2003,25,177,177,0.000284767059697358
"178","Pyronia tithonus",2003,25,178,178,0.000360135743832463
"179","Pyronia tithonus",2003,25,179,179,0.000458372155029597
"180","Pyronia tithonus",2003,25,180,180,0.000586326358823168
"181","Pyronia tithonus",2003,26,181,181,0.000752702692952753
"182","Pyronia tithonus",2003,26,182,182,0.000968420666920761
"183","Pyronia tithonus",2003,26,183,183,0.00124696661089321
"184","Pyronia tithonus",2003,26,184,184,0.00160468378972666
"185","Pyronia tithonus",2003,26,185,185,0.0020609223984236
"186","Pyronia tithonus",2003,26,186,186,0.00263794061507021
"187","Pyronia tithonus",2003,26,187,187,0.00336041767013533
"188","Pyronia tithonus",2003,27,188,188,0.00425441687927417
"189","Pyronia tithonus",2003,27,189,189,0.005345631690254
"190","Pyronia tithonus",2003,27,190,190,0.00665677530132499
"191","Pyronia tithonus",2003,27,191,191,0.0082040501329075
"192","Pyronia tithonus",2003,27,192,192,0.00999277077107864
"193","Pyronia tithonus",2003,27,193,193,0.0120125388575072
"194","Pyronia tithonus",2003,27,194,194,0.0142408484381091
"195","Pyronia tithonus",2003,28,195,195,0.0166516572988896
"196","Pyronia tithonus",2003,28,196,196,0.0192089230547154
"197","Pyronia tithonus",2003,28,197,197,0.0218663318071538
"198","Pyronia tithonus",2003,28,198,198,0.0245685557325893
"199","Pyronia tithonus",2003,28,199,199,0.0272532003032218
"200","Pyronia tithonus",2003,28,200,200,0.0298533442314741
"201","Pyronia tithonus",2003,28,201,201,0.0323005175092097
"202","Pyronia tithonus",2003,29,202,202,0.0345279182900499
"203","Pyronia tithonus",2003,29,203,203,0.0364736431386404
"204","Pyronia tithonus",2003,29,204,204,0.0380837004311773
"205","Pyronia tithonus",2003,29,205,205,0.0393145939054729
"206","Pyronia tithonus",2003,29,206,206,0.0401353003656002
"207","Pyronia tithonus",2003,29,207,207,0.0405285179214542
"208","Pyronia tithonus",2003,29,208,208,0.0404911228681088
"209","Pyronia tithonus",2003,30,209,209,0.0400338376210167
"210","Pyronia tithonus",2003,30,210,210,0.0391801724085719
"211","Pyronia tithonus",2003,30,211,211,0.0379647540220959
"212","Pyronia tithonus",2003,30,212,212,0.036431191724389
"213","Pyronia tithonus",2003,30,213,213,0.0346296511962507
"214","Pyronia tithonus",2003,30,214,214,0.0326143118679343
"215","Pyronia tithonus",2003,30,215,215,0.0304405138019467
"216","Pyronia tithonus",2003,31,216,216,0.0281615926037792
"217","Pyronia tithonus",2003,31,217,217,0.0258283473137548
"218","Pyronia tithonus",2003,31,218,218,0.0234878300730133
"219","Pyronia tithonus",2003,31,219,219,0.0211820869402383
"220","Pyronia tithonus",2003,31,220,220,0.0189472797222135
"221","Pyronia tithonus",2003,31,221,221,0.0168131836530838
"222","Pyronia tithonus",2003,31,222,222,0.0148030332874732
"223","Pyronia tithonus",2003,32,223,223,0.0129336719838905
"224","Pyronia tithonus",2003,32,224,224,0.0112159492636981
"225","Pyronia tithonus",2003,32,225,225,0.00965530496707523
"226","Pyronia tithonus",2003,32,226,226,0.0082524788601653
"227","Pyronia tithonus",2003,32,227,227,0.00700428823477485
"228","Pyronia tithonus",2003,32,228,228,0.00590442298016304
"229","Pyronia tithonus",2003,32,229,229,0.00494421646585945
"230","Pyronia tithonus",2003,33,230,230,0.00411336030703074
"231","Pyronia tithonus",2003,33,231,231,0.00340054079926089
"232","Pyronia tithonus",2003,33,232,232,0.00279398381796273
"233","Pyronia tithonus",2003,33,233,233,0.00228190280352036
"234","Pyronia tithonus",2003,33,234,234,0.00185285082541052
"235","Pyronia tithonus",2003,33,235,235,0.00149598254317206
"236","Pyronia tithonus",2003,33,236,236,0.00120126326978289
"237","Pyronia tithonus",2003,34,237,237,0.00095979009510451
"238","Pyronia tithonus",2003,34,238,238,0.000763515060470044
"239","Pyronia tithonus",2003,34,239,239,0.000605118435865002
"240","Pyronia tithonus",2003,34,240,240,0.000478104407304016
"241","Pyronia tithonus",2003,34,241,241,0.000376827725909097
"242","Pyronia tithonus",2003,34,242,242,0.000296468697334511
"243","Pyronia tithonus",2003,34,243,243,0.000232974767959023
"244","Pyronia tithonus",2003,35,244,244,0.000182983163391139
"245","Pyronia tithonus",2003,35,245,245,0.000143735395830033
"246","Pyronia tithonus",2003,35,246,246,0.000112991255780261
"247","Pyronia tithonus",2003,35,247,247,8.89472659468938e-05
"248","Pyronia tithonus",2003,35,248,248,7.01625212488063e-05
"249","Pyronia tithonus",2003,35,249,249,5.54933239937469e-05
"250","Pyronia tithonus",2003,35,250,250,4.40369685380449e-05
"251","Pyronia tithonus",2003,36,251,251,3.50843445201011e-05
"252","Pyronia tithonus",2003,36,252,252,2.80806236808728e-05
"253","Pyronia tithonus",2003,36,253,253,2.2593094338136e-05
"254","Pyronia tithonus",2003,36,254,254,1.82851454671088e-05
"255","Pyronia tithonus",2003,36,255,255,1.4895428974738e-05
"256","Pyronia tithonus",2003,36,256,256,1.22213070450454e-05
"257","Pyronia tithonus",2003,36,257,257,1.0105736504618e-05
"258","Pyronia tithonus",2003,37,258,258,8.4241898656639e-06
"259","Pyronia tithonus",2003,37,259,259,7.07762638849666e-06
"260","Pyronia tithonus",2003,37,260,260,5.99122581224906e-06
"261","Pyronia tithonus",2003,37,261,261,5.10836086653655e-06
"262","Pyronia tithonus",2003,37,262,262,4.38585765675634e-06
"263","Pyronia tithonus",2003,37,263,263,3.79056401809199e-06
"264","Pyronia tithonus",2003,37,264,264,3.29684656987406e-06
"265","Pyronia tithonus",2003,38,265,265,2.88475205369462e-06
"266","Pyronia tithonus",2003,38,266,266,2.53864724400683e-06
"267","Pyronia tithonus",2003,38,267,267,2.24620605594985e-06
"268","Pyronia tithonus",2003,38,268,268,1.99765025921829e-06
"269","Pyronia tithonus",2003,38,269,269,1.78517666678356e-06
"270","Pyronia tithonus",2003,38,270,270,1.60252232478956e-06
"271","Pyronia tithonus",2003,38,271,271,1.44463247416503e-06
"272","Pyronia tithonus",2003,39,272,272,1.30740551760013e-06
"273","Pyronia tithonus",2003,39,273,273,1.18749603014031e-06
"274","Pyronia tithonus",2003,39,274,274,1.08216177501744e-06
"275","Pyronia tithonus",2003,39,275,275,9.8914427010814e-07
"276","Pyronia tithonus",2003,39,276,276,9.06575074415557e-07
"277","Pyronia tithonus",2003,39,277,277,8.3290189623244e-07
"278","Pyronia tithonus",2003,39,278,278,7.66830055418398e-07
"279","Pyronia tithonus",2003,40,279,279,7.07275897377457e-07
"280","Pyronia tithonus",2003,40,280,280,6.53329553436432e-07
"281","Pyronia tithonus",2003,40,281,281,6.0422504189047e-07
"282","Pyronia tithonus",2003,40,282,282,5.5931615720724e-07
"283","Pyronia tithonus",2003,40,283,283,5.18056939172766e-07
"284","Pyronia tithonus",2003,40,284,284,4.79985776599103e-07
"285","Pyronia tithonus",2003,40,285,285,4.44734715620811e-07
"286","Pyronia tithonus",2003,41,286,286,4.12072559065688e-07
"287","Pyronia tithonus",2003,41,287,287,3.81809172908648e-07
"288","Pyronia tithonus",2003,41,288,288,3.53768386926117e-07
"289","Pyronia tithonus",2003,41,289,289,3.27786969168108e-07
"290","Pyronia tithonus",2003,41,290,290,3.03713675746988e-07
"291","Pyronia tithonus",2003,41,291,291,2.81408370411575e-07
"292","Pyronia tithonus",2003,41,292,292,2.60741208781356e-07
"293","Pyronia tithonus",2003,42,293,293,2.41591882492086e-07
"294","Pyronia tithonus",2003,42,294,294,2.23848918852765e-07
"295","Pyronia tithonus",2003,42,295,295,2.07409031937129e-07
"296","Pyronia tithonus",2003,42,296,296,1.92176521332193e-07
"297","Pyronia tithonus",2003,42,297,297,1.78062715043857e-07
"298","Pyronia tithonus",2003,42,298,298,1.64985453316548e-07
"299","Pyronia tithonus",2003,42,299,299,1.52868610362158e-07
"300","Pyronia tithonus",2003,43,300,300,1.41641651214066e-07
"301","Pyronia tithonus",2003,43,301,301,1.31239221126679e-07
"302","Pyronia tithonus",2003,43,302,302,1.21600765130212e-07
"303","Pyronia tithonus",2003,43,303,303,1.12670175526112e-07
"304","Pyronia tithonus",2003,43,304,304,1.04395465271056e-07
"305","Pyronia tithonus",2003,43,305,305,9.67284653482623e-08
"306","Pyronia tithonus",2003,43,306,306,0
"307","Pyronia tithonus",2003,44,307,307,0
"308","Pyronia tithonus",2003,44,308,308,0
"309","Pyronia tithonus",2003,44,309,309,0
"310","Pyronia tithonus",2003,44,310,310,0
"311","Pyronia tithonus",2003,44,311,311,0
"312","Pyronia tithonus",2003,44,312,312,0
"313","Pyronia tithonus",2003,44,313,313,0
"314","Pyronia tithonus",2003,45,314,314,0
"315","Pyronia tithonus",2003,45,315,315,0
"316","Pyronia tithonus",2003,45,316,316,0
"317","Pyronia tithonus",2003,45,317,317,0
"318","Pyronia tithonus",2003,45,318,318,0
"319","Pyronia tithonus",2003,45,319,319,0
"320","Pyronia tithonus",2003,45,320,320,0
"321","Pyronia tithonus",2003,46,321,321,0
"322","Pyronia tithonus",2003,46,322,322,0
"323","Pyronia tithonus",2003,46,323,323,0
"324","Pyronia tithonus",2003,46,324,324,0
"325","Pyronia tithonus",2003,46,325,325,0
"326","Pyronia tithonus",2003,46,326,326,0
"327","Pyronia tithonus",2003,46,327,327,0
"328","Pyronia tithonus",2003,47,328,328,0
"329","Pyronia tithonus",2003,47,329,329,0
"330","Pyronia tithonus",2003,47,330,330,0
"331","Pyronia tithonus",2003,47,331,331,0
"332","Pyronia tithonus",2003,47,332,332,0
"333","Pyronia tithonus",2003,47,333,333,0
"334","Pyronia tithonus",2003,47,334,334,0
"335","Pyronia tithonus",2003,48,335,335,0
"336","Pyronia tithonus",2003,48,336,336,0
"337","Pyronia tithonus",2003,48,337,337,0
"338","Pyronia tithonus",2003,48,338,338,0
"339","Pyronia tithonus",2003,48,339,339,0
"340","Pyronia tithonus",2003,48,340,340,0
"341","Pyronia tithonus",2003,48,341,341,0
"342","Pyronia tithonus",2003,49,342,342,0
"343","Pyronia tithonus",2003,49,343,343,0
"344","Pyronia tithonus",2003,49,344,344,0
"345","Pyronia tithonus",2003,49,345,345,0
"346","Pyronia tithonus",2003,49,346,346,0
"347","Pyronia tithonus",2003,49,347,347,0
"348","Pyronia tithonus",2003,49,348,348,0
"349","Pyronia tithonus",2003,50,349,349,0
"350","Pyronia tithonus",2003,50,350,350,0
"351","Pyronia tithonus",2003,50,351,351,0
"352","Pyronia tithonus",2003,50,352,352,0
"353","Pyronia tithonus",2003,50,353,353,0
"354","Pyronia tithonus",2003,50,354,354,0
"355","Pyronia tithonus",2003,50,355,355,0
"356","Pyronia tithonus",2003,51,356,356,0
"357","Pyronia tithonus",2003,51,357,357,0
"358","Pyronia tithonus",2003,51,358,358,0
"359","Pyronia tithonus",2003,51,359,359,0
"360","Pyronia tithonus",2003,51,360,360,0
"361","Pyronia tithonus",2003,51,361,361,0
"362","Pyronia tithonus",2003,51,362,362,0
"363","Pyronia tithonus",2003,52,363,363,0
"364","Pyronia tithonus",2003,52,364,364,0
"365","Pyronia tithonus",2003,52,365,365,0
"733","Pyronia tithonus",2004,0,1,1,0
"734","Pyronia tithonus",2004,0,2,2,0
"735","Pyronia tithonus",2004,0,3,3,0
"736","Pyronia tithonus",2004,0,4,4,0
"737","Pyronia tithonus",2004,1,5,5,0
"738","Pyronia tithonus",2004,1,6,6,0
"739","Pyronia tithonus",2004,1,7,7,0
"740","Pyronia tithonus",2004,1,8,8,0
"741","Pyronia tithonus",2004,1,9,9,0
"742","Pyronia tithonus",2004,1,10,10,0
"743","Pyronia tithonus",2004,1,11,11,0
"744","Pyronia tithonus",2004,2,12,12,0
"745","Pyronia tithonus",2004,2,13,13,0
"746","Pyronia tithonus",2004,2,14,14,0
"747","Pyronia tithonus",2004,2,15,15,0
"748","Pyronia tithonus",2004,2,16,16,0
"749","Pyronia tithonus",2004,2,17,17,0
"750","Pyronia tithonus",2004,2,18,18,0
"751","Pyronia tithonus",2004,3,19,19,0
"752","Pyronia tithonus",2004,3,20,20,0
"753","Pyronia tithonus",2004,3,21,21,0
"754","Pyronia tithonus",2004,3,22,22,0
"755","Pyronia tithonus",2004,3,23,23,0
"756","Pyronia tithonus",2004,3,24,24,0
"757","Pyronia tithonus",2004,3,25,25,0
"758","Pyronia tithonus",2004,4,26,26,0
"759","Pyronia tithonus",2004,4,27,27,0
"760","Pyronia tithonus",2004,4,28,28,0
"761","Pyronia tithonus",2004,4,29,29,0
"762","Pyronia tithonus",2004,4,30,30,0
"763","Pyronia tithonus",2004,4,31,31,0
"764","Pyronia tithonus",2004,4,32,32,0
"765","Pyronia tithonus",2004,5,33,33,0
"766","Pyronia tithonus",2004,5,34,34,0
"767","Pyronia tithonus",2004,5,35,35,0
"768","Pyronia tithonus",2004,5,36,36,0
"769","Pyronia tithonus",2004,5,37,37,0
"770","Pyronia tithonus",2004,5,38,38,0
"771","Pyronia tithonus",2004,5,39,39,0
"772","Pyronia tithonus",2004,6,40,40,0
"773","Pyronia tithonus",2004,6,41,41,0
"774","Pyronia tithonus",2004,6,42,42,0
"775","Pyronia tithonus",2004,6,43,43,0
"776","Pyronia tithonus",2004,6,44,44,0
"777","Pyronia tithonus",2004,6,45,45,0
"778","Pyronia tithonus",2004,6,46,46,0
"779","Pyronia tithonus",2004,7,47,47,0
"780","Pyronia tithonus",2004,7,48,48,0
"781","Pyronia tithonus",2004,7,49,49,0
"782","Pyronia tithonus",2004,7,50,50,0
"783","Pyronia tithonus",2004,7,51,51,0
"784","Pyronia tithonus",2004,7,52,52,0
"785","Pyronia tithonus",2004,7,53,53,0
"786","Pyronia tithonus",2004,8,54,54,0
"787","Pyronia tithonus",2004,8,55,55,0
"788","Pyronia tithonus",2004,8,56,56,0
"789","Pyronia tithonus",2004,8,57,57,0
"790","Pyronia tithonus",2004,8,58,58,0
"791","Pyronia tithonus",2004,8,59,59,0
"792","Pyronia tithonus",2004,8,60,60,4.00736989261962e-19
"793","Pyronia tithonus",2004,9,61,61,4.00736989261962e-19
"794","Pyronia tithonus",2004,9,62,62,4.00736989261962e-19
"795","Pyronia tithonus",2004,9,63,63,4.00736989261962e-19
"796","Pyronia tithonus",2004,9,64,64,4.00736989261962e-19
"797","Pyronia tithonus",2004,9,65,65,4.00736989261962e-19
"798","Pyronia tithonus",2004,9,66,66,4.00736989261962e-19
"799","Pyronia tithonus",2004,9,67,67,4.00736989261962e-19
"800","Pyronia tithonus",2004,10,68,68,4.00736989261962e-19
"801","Pyronia tithonus",2004,10,69,69,4.00736989261962e-19
"802","Pyronia tithonus",2004,10,70,70,4.00736989261962e-19
"803","Pyronia tithonus",2004,10,71,71,4.00736989261962e-19
"804","Pyronia tithonus",2004,10,72,72,4.00736989261962e-19
"805","Pyronia tithonus",2004,10,73,73,4.00736989261962e-19
"806","Pyronia tithonus",2004,10,74,74,4.00736989261962e-19
"807","Pyronia tithonus",2004,11,75,75,4.00736989261962e-19
"808","Pyronia tithonus",2004,11,76,76,4.00736989261962e-19
"809","Pyronia tithonus",2004,11,77,77,4.00736989261962e-19
"810","Pyronia tithonus",2004,11,78,78,4.00736989261962e-19
"811","Pyronia tithonus",2004,11,79,79,4.00736989261962e-19
"812","Pyronia tithonus",2004,11,80,80,4.00736989261962e-19
"813","Pyronia tithonus",2004,11,81,81,4.00736989261962e-19
"814","Pyronia tithonus",2004,12,82,82,4.00736989261962e-19
"815","Pyronia tithonus",2004,12,83,83,4.00736989261962e-19
"816","Pyronia tithonus",2004,12,84,84,4.00736989261962e-19
"817","Pyronia tithonus",2004,12,85,85,4.00736989261962e-19
"818","Pyronia tithonus",2004,12,86,86,4.00736989261962e-19
"819","Pyronia tithonus",2004,12,87,87,4.00736989261962e-19
"820","Pyronia tithonus",2004,12,88,88,4.00736989261962e-19
"821","Pyronia tithonus",2004,13,89,89,4.00736989261962e-19
"822","Pyronia tithonus",2004,13,90,90,4.00736989261962e-19
"823","Pyronia tithonus",2004,13,91,91,4.00736989261962e-19
"824","Pyronia tithonus",2004,13,92,92,4.00736989261962e-19
"825","Pyronia tithonus",2004,13,93,93,4.00736989261962e-19
"826","Pyronia tithonus",2004,13,94,94,4.00736989261962e-19
"827","Pyronia tithonus",2004,13,95,95,4.00736989261962e-19
"828","Pyronia tithonus",2004,14,96,96,4.00736989261962e-19
"829","Pyronia tithonus",2004,14,97,97,4.00736989261962e-19
"830","Pyronia tithonus",2004,14,98,98,4.00736989261962e-19
"831","Pyronia tithonus",2004,14,99,99,4.00736989261962e-19
"832","Pyronia tithonus",2004,14,100,100,4.00736989261962e-19
"833","Pyronia tithonus",2004,14,101,101,4.00736989261962e-19
"834","Pyronia tithonus",2004,14,102,102,4.00736989261962e-19
"835","Pyronia tithonus",2004,15,103,103,4.00736989261962e-19
"836","Pyronia tithonus",2004,15,104,104,4.00736989261962e-19
"837","Pyronia tithonus",2004,15,105,105,4.00736989261962e-19
"838","Pyronia tithonus",2004,15,106,106,4.00736989261962e-19
"839","Pyronia tithonus",2004,15,107,107,4.00736989261962e-19
"840","Pyronia tithonus",2004,15,108,108,4.21822440790793e-18
"841","Pyronia tithonus",2004,15,109,109,3.73181328784736e-15
"842","Pyronia tithonus",2004,16,110,110,1.14773150478747e-12
