Nesp;France;Turquie;Espagne;Norfolk;Scientific name;Group;Seuil_grossier;NomFR;GroupFR
Tadten;x;x;x;;Tadarida teniotis;bat;0.4;Molosse;Chauve-souris
Tesori;;;;;Tessellana orina;bush-cricket;0;Decticelle orina;Sauterelle
Testes;x;x;x;;Tessellana tessellata;bush-cricket;0;Decticelle carroyee;Sauterelle
Tetarg;x;;x;;Tettigetta argentata;cicada;0;Cigale argentee;Autre
Tetcan;x;x;x;;Tettigonia cantans;bush-cricket;0;Sauterelle cymbaliere;Sauterelle
Tethis;;;x;;Tettigonia hispanica;bush-cricket;0;Sauterelle hispanique;Sauterelle
Tetpyg;x;;x;;Tettigetta pygmea;cicada;0;Cigale pygmee;Autre
Tetvir;x;x;x;x;Tettigonia viridissima;bush-cricket;0;Sauterelle verte;Sauterelle
Thycor;x;;x;;Thyreonotus corsicus;bush-cricket;0;Decticelle marocaine;Sauterelle
Tyllil;x;x;x;;Tylopsis lilifolia;bush-cricket;0;Phaneroptere liliace;Sauterelle
Urorug;x;;x;;Uromenus rugosicollis;bush-cricket;0;Ephippigere carenee;Sauterelle
Vesmur;x;x;x;;Vespertilio murinus;bat;0.5;Serotine bicolore;Chauve-souris
Yerbey;x;;;;Yersinella beybienkoi;bush-cricket;0;Decticelle italienne;Sauterelle
Yerray;x;;x;;Yersinella raymondii;bush-cricket;0;Decticelle frele;Sauterelle
Zeuabb;x;;x;;Zeuneriana abbreviata;bush-cricket;0;Decticelle aquitaine;Sauterelle
